Sku,Product Name,Country,Variant,Strength,Category,Unit (Can Eaches),Carton (Roll 5 pack),Master Case - NEW (Box 90 pack),Master Case (11 Digits)
SPC20004,Sesh+ Nicotine Pouch - Cappuccino - 4mg,US,Cappuccino,4mg,Pouch,628634132289,628634132326,10628634132286,62863413228
SPC20006,Sesh+ Nicotine Pouch - Cappuccino - 6mg,US,Cappuccino,6mg,Pouch,628634132524,628634132647,10628634132521,62863413252
SPC20008,Sesh+ Nicotine Pouch - Cappuccino - 8mg,US,Cappuccino,8mg,Pouch,628634132821,628634132968,10628634132828,62863413282
SPN10004,Sesh+ Nicotine Pouch - Clear - 4mg,US,Clear,4mg,Pouch,628634132517,628634132630,10628634132514,62863413251
SPN10006,Sesh+ Nicotine Pouch - Clear - 6mg,US,Clear,6mg,Pouch,628634132814,628634132951,10628634132811,62863413281
SPN10008,Sesh+ Nicotine Pouch - Clear - 8mg,US,Clear,8mg,Pouch,628634132913,628634131053,10628634132910,62863413291
SPG10004,Sesh+ Nicotine Pouch - Mango - 4mg,US,Mango,4mg,Pouch,628634132265,628634132388,10628634132262,62863413226
SPG10006,Sesh+ Nicotine Pouch - Mango - 6mg,US,Mango,6mg,Pouch,628634132272,628634132340,10628634132279,62863413227
SPG10008,Sesh+ Nicotine Pouch - Mango - 8mg,US,Mango,8mg,Pouch,628634132739,628634132777,10628634132736,62863413273
SPM10004,Sesh+ Nicotine Pouch - Mint - 4mg,US,Mint,4mg,Pouch,628634132234,628634132081,10628634132231,62863413223
SPM10006,Sesh+ Nicotine Pouch - Mint - 6mg,US,Mint,6mg,Pouch,628634132173,628634132203,10628634132170,62863413217
SPM10008,Sesh+ Nicotine Pouch - Mint - 8mg,US,Mint,8mg,Pouch,628634132708,628634132746,10628634132705,62863413270
SPW10004,Sesh+ Nicotine Pouch - Wintergreen - 4mg,US,Wintergreen,4mg,Pouch,628634132241,628634132364,10628634132248,62863413224
SPW10006,Sesh+ Nicotine Pouch - Wintergreen - 6mg,US,Wintergreen,6mg,Pouch,628634132180,628634132210,10628634132187,62863413218
SPW10008,Sesh+ Nicotine Pouch - Wintergreen - 8mg,US,Wintergreen,8mg,Pouch,628634132715,628634132753,10628634132712,62863413271
